id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,1,1,14,1/31,33,1,14,14,29,14
lpsh1,lpsh1,1.0,0,12,0,12,12,12,2,0,0,0
lpsh2,lpsh2,1.0,1,1,1,5,1,10,1,1,1,1
lpsh3,lpsh3,1.0,0/3,0,1,0,0,0,2,2,1,1
lpsnh0,lpsnh0,1.0,9,9,1,9/13,9,9/15,1,1,1,6
lpsnh1,lpsnh1,1.0,1,15,2,14,12,12,6,6,3,2
lpsnh2,lpsnh2,1.0,1/12,5,3/4,5,5/8,10,3,3,3,3
lpsnh3,lpsnh3,1.0,1,1,1/9,1,1,1,7,4,8,11
lpsnh4,lpsnh4,1.0,1,7,1,7,9,26,2,2,1,5
lpsnh5,lpsnh5,1.0,1,17,6,18/15,17,17,8,8,12/13,6
lpsnh6,lpsnh6,1.0,1,1,3,6,1,1,1,1,1,3
lpsnh7,lpsnh7,1.0,1,1,1,24,1,28,3/5,1,12,14/15
lpsnh8,lpsnh8,1.0,7,7,5,7,7,7,3,3,3,5/6
lpsnh9,lpsnh9,1.0,57,57,4/23,57,60,67,18,19/8,4,56
lpsnh10,lpsnh10,1.0,11,1,1,1,1,10,3,2,1,4
lpsnh11,lpsnh11,1.0,18/15,15,3,20/15,15,15,4/8,4,3,3
lpsnh12,lpsnh12,1.0,1,1,5/6,1,11,11,5,5/8,5,10
lpsnh13,lpsnh13,1.0,18/15,18,4,18,18,18/19,4,4,5,9
lpsnh14,lpsnh14,1.0,1,13,9,15,13,13,5,2,1,11
lpsnh15,lpsnh15,1.0,1,1,2,1,1,15,5/10,5,2,11
lpsnh16,lpsnh16,1.0,10,1,1,8/9,1,1,2/4,2,2,5
lpsnh17,lpsnh17,1.0,1,1,1,1,1,16/17,1,1,6,7
lpsnh18,lpsnh18,1.0,1,33,1,1,33,35,22,22,32,1
lpsnh19,lpsnh19,1.0,1,11,1,6,11,11,3,3,4,1
lpsnh20,lpsnh20,1.0,1,1,1,8,1,9,1,1,1,1
lpsnh21,lpsnh21,1.0,1,10/12/13,2,1,10,16,2,2,3,8
